anio,nivel,instituto,tipo_estudiante,genero,metrica,valor
2021,General,UNAHUR,Todos,Todos,total_matricula,33352.0
2021,Pregrado y Grado,UNAHUR,Todos,Todos,porcentaje_inscriptos_a_materias,65.0
2021,Pregrado y Grado,UNAHUR,Todos,Todos,porcentaje_no_inscriptos_a_materias,35.0
2021,Pregrado y Grado,UNAHUR,Todos,Todos,porcentaje_regularizo_o_aprobo,60.0
2021,Pregrado y Grado,UNAHUR,Todos,Todos,porcentaje_no_regularizo_ni_aprobo,40.0
2021,Pregrado y Grado,UNAHUR,Todos,Todos,cantidad_no_regularizo_ni_aprobo,13040.0
2021,Pregrado y Grado,UNAHUR,No regularizó ni aprobó,Todos,porcentaje_se_inscribio_a_materia,65.0
2021,Pregrado y Grado,UNAHUR,No regularizó ni aprobó,Todos,porcentaje_no_se_inscribio_a_materia,35.0
2021,Pregrado,UNAHUR,Todos,Todos,total_estudiantes,9268.0
2021,Pregrado,UNAHUR,Nuevos/as Inscriptos/as,Todos,total_estudiantes,5012.0
2021,Pregrado,UNAHUR,Reinscriptos/as,Todos,total_estudiantes,4256.0
2021,Pregrado,Biotecnología,Todos,Todos,total_estudiantes,3725.0
2021,Pregrado,Biotecnología,Todos,Mujeres,total_estudiantes,2825.0
2021,Pregrado,Biotecnología,Todos,Varones,total_estudiantes,900.0
2021,Pregrado,Biotecnología,Todos,Todos,promedio_materias_aprobadas,3.1
2021,Pregrado,Biotecnología,Todos,Todos,promedio_materias_regularizadas,3.3
2021,Pregrado,Educación,Todos,Todos,total_estudiantes,88.0
2021,Pregrado,Educación,Todos,Mujeres,total_estudiantes,51.0
2021,Pregrado,Educación,Todos,Varones,total_estudiantes,37.0
2021,Pregrado,Educación,Todos,Todos,promedio_materias_aprobadas,5.5
2021,Pregrado,Educación,Todos,Todos,promedio_materias_regularizadas,5.8
2021,Pregrado,Educación,Todos,Mujeres,porcentaje_aprobaron,59.0
2021,Pregrado,Educación,Todos,Varones,porcentaje_aprobaron,51.0
2021,Pregrado,Educación,Nuevos/as Inscriptos/as,Mujeres,porcentaje_aprobaron,40.0
2021,Pregrado,Educación,Nuevos/as Inscriptos/as,Varones,porcentaje_aprobaron,44.0
2021,Pregrado,Educación,Reinscriptos/as,Mujeres,porcentaje_aprobaron,67.0
2021,Pregrado,Educación,Reinscriptos/as,Varones,porcentaje_aprobaron,54.0
2021,Pregrado,Salud Comunitaria,Todos,Todos,total_estudiantes,2501.0
2021,Pregrado,Salud Comunitaria,Todos,Todos,promedio_materias_aprobadas,4.9
2021,Pregrado,Salud Comunitaria,Todos,Todos,promedio_materias_regularizadas,4.9
2021,Pregrado,Salud Comunitaria,Todos,Mujeres,porcentaje_aprobaron,70.0
2021,Pregrado,Salud Comunitaria,Todos,Varones,porcentaje_aprobaron,59.0
2021,Pregrado,Salud Comunitaria,Nuevos/as Inscriptos/as,Mujeres,porcentaje_aprobaron,63.0
2021,Pregrado,Salud Comunitaria,Nuevos/as Inscriptos/as,Varones,porcentaje_aprobaron,50.0
2021,Pregrado,Salud Comunitaria,Reinscriptos/as,Mujeres,porcentaje_aprobaron,74.0
2021,Pregrado,Salud Comunitaria,Reinscriptos/as,Varones,porcentaje_aprobaron,65.0
